# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=000 t= 0.000s reward=-2.150006 done=0 target=[+0.150096, -0.138140, -0.038267, -0.233538, +1.671236, +1.303640, +1.272647, +1.069759, +0.894760, +1.104057, +0.405301, +0.355678, +0.199050, +0.333219, +0.422784, +0.097280, +0.150874, +0.184784, +0.176502, +0.313774, +0.172080]
frame=001 t= 0.050s reward=-1.444716 done=0 target=[+0.108429, -0.096473, -0.079934, -0.233879, +1.699681, +1.286007, +1.253977, +1.111425, +0.936426, +1.073408, +0.419648, +0.355381, +0.240717, +0.374885, +0.464450, +0.056865, +0.164589, +0.205381, +0.218169, +0.355441, +0.165829]
frame=002 t= 0.100s reward=+0.671664 done=0 target=[+0.122182, -0.054806, -0.098838, -0.235620, +1.727910, +1.287409, +1.289448, +1.069759, +0.978093, +1.058258, +0.430148, +0.369513, +0.260836, +0.416552, +0.445579, +0.015198, +0.172060, +0.175590, +0.176502, +0.397107, +0.143189]
frame=003 t= 0.150s reward=-0.230311 done=0 target=[+0.126266, -0.013140, -0.090523, -0.235620, +1.727910, +1.260748, +1.316712, +1.053722, +0.976533, +1.028309, +0.436626, +0.411180, +0.302272, +0.429476, +0.433047, +0.006678, +0.191252, +0.188748, +0.142999, +0.383730, +0.126377]
frame=004 t= 0.200s reward=+0.110018 done=0 target=[+0.139515, -0.007781, -0.070944, -0.235620, +1.727910, +1.238279, +1.335150, +1.043615, +0.969662, +1.003153, +0.478293, +0.447093, +0.327150, +0.389687, +0.467865, +0.032392, +0.182426, +0.171931, +0.133575, +0.385991, +0.084710]
frame=005 t= 0.250s reward=-1.129815 done=0 target=[+0.134360, +0.012242, -0.048516, -0.235620, +1.727910, +1.238344, +1.319306, +1.074931, +1.011329, +0.961486, +0.512326, +0.430028, +0.368817, +0.378808, +0.499029, +0.042586, +0.148149, +0.135160, +0.125367, +0.367967, +0.043044]
frame=006 t= 0.300s reward=-1.657268 done=0 target=[+0.135443, +0.027337, -0.028019, -0.235620, +1.727910, +1.197896, +1.322736, +1.094745, +1.025603, +0.919819, +0.516393, +0.424030, +0.410483, +0.357791, +0.536160, +0.036117, +0.144446, +0.114873, +0.091451, +0.355978, +0.024136]
frame=007 t= 0.350s reward=+0.422793 done=0 target=[+0.151980, +0.052592, -0.007880, -0.235620, +1.727910, +1.183752, +1.333182, +1.076865, +1.045601, +0.878153, +0.522715, +0.388730, +0.452150, +0.341135, +0.564089, +0.023026, +0.139798, +0.090630, +0.070390, +0.353009, +0.010973]
frame=008 t= 0.400s reward=-1.712090 done=0 target=[+0.174244, +0.047122, +0.025673, -0.235620, +1.727910, +1.164328, +1.335150, +1.060050, +1.062170, +0.838941, +0.511972, +0.372388, +0.493817, +0.328624, +0.570688, +0.028223, +0.122186, +0.093676, +0.043408, +0.341254, +0.000000]
frame=009 t= 0.450s reward=+0.709775 done=0 target=[+0.185082, +0.005455, +0.067340, -0.222475, +1.727910, +1.164648, +1.335150, +1.062649, +1.081223, +0.807257, +0.492154, +0.393759, +0.535483, +0.328848, +0.566446, +0.057915, +0.094973, +0.093507, +0.020417, +0.336983, +0.000000]
frame=010 t= 0.500s reward=-0.583361 done=0 target=[+0.212175, -0.036212, +0.109006, -0.194442, +1.727910, +1.206315, +1.313779, +1.061543, +1.122890, +0.784904, +0.450488, +0.416584, +0.571208, +0.331276, +0.555682, +0.072183, +0.056031, +0.083460, +0.003102, +0.360463, +0.014125]
frame=011 t= 0.550s reward=-0.808054 done=0 target=[+0.227972, -0.077878, +0.150673, -0.152775, +1.727910, +1.242633, +1.278664, +1.091871, +1.143799, +0.776270, +0.408821, +0.458251, +0.598756, +0.318408, +0.563729, +0.061412, +0.036996, +0.083214, +0.000000, +0.381610, +0.048043]
frame=012 t= 0.600s reward=+0.823632 done=0 target=[+0.229491, -0.119545, +0.192266, -0.111109, +1.727910, +1.262655, +1.236997, +1.133538, +1.141091, +0.781090, +0.367154, +0.499918, +0.590364, +0.306058, +0.551792, +0.049813, +0.031554, +0.060870, +0.000000, +0.403110, +0.075413]
frame=013 t= 0.650s reward=+0.764456 done=0 target=[+0.230474, -0.161212, +0.205220, -0.071036, +1.727910, +1.270500, +1.195331, +1.169468, +1.161017, +0.787306, +0.325488, +0.536160, +0.569634, +0.320962, +0.531286, +0.041420, +0.060839, +0.040603, +0.000000, +0.389119, +0.086047]
frame=014 t= 0.700s reward=+0.875405 done=0 target=[+0.209517, -0.202878, +0.190857, -0.051770, +1.727910, +1.277971, +1.153664, +1.211135, +1.161357, +0.811435, +0.283821, +0.567231, +0.563302, +0.321709, +0.517124, +0.035239, +0.085851, +0.014795, +0.000000, +0.394566, +0.111706]
frame=015 t= 0.750s reward=+0.651684 done=0 target=[+0.209421, -0.233242, +0.149190, -0.062523, +1.727910, +1.278349, +1.111997, +1.245708, +1.178545, +0.845661, +0.242154, +0.586840, +0.574141, +0.316264, +0.502610, +0.026777, +0.078463, +0.000000, +0.000000, +0.385125, +0.147404]
frame=016 t= 0.800s reward=+0.109894 done=0 target=[+0.220404, -0.234793, +0.107523, -0.104190, +1.727910, +1.281516, +1.070331, +1.261494, +1.161711, +0.887328, +0.211701, +0.618891, +0.584449, +0.285565, +0.484018, +0.004223, +0.050916, +0.000000, +0.000000, +0.378269, +0.181916]
frame=017 t= 0.850s reward=+0.787262 done=0 target=[+0.235620, -0.217629, +0.067935, -0.145857, +1.727910, +1.316324, +1.028664, +1.279282, +1.135742, +0.928995, +0.248497, +0.650980, +0.593362, +0.262813, +0.464327, +0.000000, +0.009249, +0.000000, +0.000000, +0.369155, +0.213472]
frame=018 t= 0.900s reward=-0.648443 done=0 target=[+0.235620, -0.197541, +0.028859, -0.187523, +1.727910, +1.335150, +0.996350, +1.266793, +1.108479, +0.970662, +0.285614, +0.685545, +0.584426, +0.228805, +0.437454, +0.000000, +0.000000, +0.001295, +0.000000, +0.380140, +0.223847]
frame=019 t= 0.950s reward=+1.015854 done=0 target=[+0.235620, -0.192321, +0.008838, -0.229190, +1.727910, +1.330075, +1.038017, +1.252352, +1.075395, +1.012328, +0.302116, +0.706932, +0.550113, +0.223319, +0.425995, +0.000000, +0.000010, +0.042961, +0.006065, +0.368718, +0.211654]
