# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=000 t= 0.000s reward=-13.107315 done=0 target=[+0.150096, -0.172366, -0.038267, -0.235620, +1.683434, +1.294388, +1.263463, +1.069759, +0.894760, +1.103502, +0.372155, +0.360376, +0.199050, +0.333219, +0.422784, +0.097280, +0.151392, +0.184784, +0.169889, +0.313774, +0.177427]
frame=001 t= 0.050s reward=-0.726241 done=0 target=[+0.108429, -0.167993, -0.075343, -0.235620, +1.718377, +1.292203, +1.226319, +1.111425, +0.936154, +1.071032, +0.382878, +0.352029, +0.240717, +0.374885, +0.462250, +0.058326, +0.140690, +0.200706, +0.188492, +0.355441, +0.195944]
frame=002 t= 0.100s reward=-0.757776 done=0 target=[+0.150096, -0.126327, -0.072994, -0.235620, +1.727910, +1.281910, +1.234870, +1.089040, +0.977821, +1.047655, +0.393062, +0.366270, +0.282384, +0.416552, +0.447802, +0.029419, +0.111158, +0.181948, +0.146825, +0.397107, +0.178041]
frame=003 t= 0.150s reward=-0.815961 done=0 target=[+0.191762, -0.084660, -0.038758, -0.235620, +1.727910, +1.316608, +1.256881, +1.047374, +1.012908, +1.031103, +0.434729, +0.370889, +0.324050, +0.453623, +0.413843, +0.058374, +0.089404, +0.197647, +0.106362, +0.419274, +0.172536]
frame=004 t= 0.200s reward=-1.836283 done=0 target=[+0.214595, -0.042993, -0.016050, -0.235620, +1.727910, +1.295427, +1.288373, +1.050800, +1.021115, +0.998035, +0.475934, +0.386854, +0.365717, +0.411957, +0.425021, +0.099087, +0.116950, +0.159550, +0.098455, +0.414521, +0.130869]
frame=005 t= 0.250s reward=+0.687140 done=0 target=[+0.222636, -0.001327, -0.023359, -0.235620, +1.727910, +1.258646, +1.319484, +1.044385, +1.043401, +0.956369, +0.484816, +0.390289, +0.383260, +0.384953, +0.451937, +0.101320, +0.129396, +0.122331, +0.089846, +0.404255, +0.125629]
frame=006 t= 0.300s reward=+0.555174 done=0 target=[+0.222194, +0.040340, +0.018308, -0.235620, +1.727910, +1.255369, +1.305777, +1.059910, +1.060752, +0.914702, +0.526483, +0.368428, +0.397493, +0.378612, +0.474652, +0.118874, +0.088543, +0.131233, +0.075708, +0.396277, +0.159498]
frame=007 t= 0.350s reward=+0.354349 done=0 target=[+0.235620, +0.082007, +0.059975, -0.235620, +1.727910, +1.240705, +1.309801, +1.042399, +1.062614, +0.873035, +0.558624, +0.333402, +0.416829, +0.344279, +0.479192, +0.117635, +0.046877, +0.126832, +0.070029, +0.400344, +0.179837]
frame=008 t= 0.400s reward=-1.251318 done=0 target=[+0.235620, +0.051280, +0.101641, -0.193953, +1.727910, +1.252297, +1.330279, +1.046613, +1.064199, +0.831369, +0.574508, +0.314184, +0.445533, +0.315598, +0.471668, +0.106458, +0.005931, +0.168499, +0.083359, +0.417344, +0.182822]
frame=009 t= 0.450s reward=+0.116149 done=0 target=[+0.235620, +0.009614, +0.143308, -0.152287, +1.727910, +1.290645, +1.334175, +1.074400, +1.083667, +0.789702, +0.539920, +0.334013, +0.479046, +0.299897, +0.456810, +0.098101, +0.000000, +0.206728, +0.083895, +0.425945, +0.163380]
frame=010 t= 0.500s reward=+0.896002 done=0 target=[+0.235620, -0.032053, +0.184975, -0.110620, +1.727910, +1.323985, +1.319025, +1.116067, +1.096210, +0.750414, +0.504858, +0.375680, +0.509512, +0.280619, +0.476711, +0.115252, +0.000000, +0.215850, +0.102580, +0.443634, +0.151870]
frame=011 t= 0.550s reward=+0.829513 done=0 target=[+0.235620, -0.073720, +0.226642, -0.068953, +1.727910, +1.335150, +1.277359, +1.157734, +1.091289, +0.715370, +0.472821, +0.417347, +0.496240, +0.238952, +0.496010, +0.138550, +0.000000, +0.241381, +0.104582, +0.437410, +0.135263]
frame=012 t= 0.600s reward=+0.810567 done=0 target=[+0.235620, -0.115386, +0.235620, -0.040205, +1.727910, +1.335150, +1.235692, +1.195260, +1.078734, +0.684276, +0.439896, +0.440546, +0.457058, +0.250549, +0.502368, +0.154730, +0.041165, +0.226179, +0.114833, +0.435717, +0.120334]
