# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=000 t= 0.000s reward=-13.107315 done=0 raw_action=[-1.000000, -0.754290, -1.000000, -0.029902, +1.000000, +0.777957, +0.669982, +1.000000, +1.000000, -0.503743, +0.003581, -0.578514, +1.000000, +1.000000, +1.000000, -1.000000, +0.719055, +1.000000, +0.841294, +1.000000, +1.000000]
frame=001 t= 0.050s reward=-0.726241 done=0 raw_action=[-1.000000, +0.104949, -0.889823, -0.354730, +0.838652, -0.052437, -0.891450, +1.000000, +0.993469, -0.779284, +0.257338, -0.200323, +1.000000, +1.000000, +0.947188, -0.934885, -0.256859, +0.382146, +0.446464, +1.000000, +0.444395]
frame=002 t= 0.100s reward=-0.757776 done=0 raw_action=[+1.000000, +1.000000, +0.056382, -0.511796, +1.000000, -0.247047, +0.205216, -0.537246, +1.000000, -0.561036, +0.244426, +0.341783, +1.000000, +1.000000, -0.346739, -0.693768, -0.708769, -0.450206, -1.000000, +1.000000, -0.429679]
frame=003 t= 0.150s reward=-0.815961 done=0 raw_action=[+1.000000, +1.000000, +0.821666, -0.810156, +1.000000, +0.832760, +0.528275, -1.000000, +0.842091, -0.397247, +1.000000, +0.110850, +1.000000, +0.889710, -0.815020, +0.694925, -0.522103, +0.376777, -0.971108, +0.531998, -0.132113]
frame=004 t= 0.200s reward=-1.836283 done=0 raw_action=[+0.547993, +1.000000, +0.544990, -1.000000, +1.000000, -0.508344, +0.755796, +0.082225, +0.196970, -0.793626, +0.988933, +0.383166, +1.000000, -1.000000, +0.268265, +0.977113, +0.661122, -0.914315, -0.189788, -0.114063, -1.000000]
frame=005 t= 0.250s reward=+0.687140 done=0 raw_action=[+0.192967, +1.000000, -0.175405, -1.000000, +1.000000, -0.882744, +0.746653, -0.153956, +0.534871, -1.000000, +0.213168, +0.082425, +0.421038, -0.648082, +0.645980, +0.053585, +0.298705, -0.893255, -0.206609, -0.246389, -0.125770]
frame=006 t= 0.300s reward=+0.555174 done=0 raw_action=[-0.010598, +1.000000, +1.000000, -0.718666, +1.000000, -0.078644, -0.328965, +0.372611, +0.416405, -1.000000, +1.000000, -0.524663, +0.341578, -0.152194, +0.545152, +0.421286, -0.980473, +0.213635, -0.339313, -0.191483, +0.812858]
frame=007 t= 0.350s reward=+0.354349 done=0 raw_action=[+0.679663, +1.000000, +1.000000, -0.060234, +1.000000, -0.351949, +0.096588, -0.420270, +0.044704, -1.000000, +0.771382, -0.840613, +0.464062, -0.823994, +0.108971, -0.029718, -1.000000, -0.105621, -0.136281, +0.097614, +0.488137]
frame=008 t= 0.400s reward=-1.251318 done=0 raw_action=[+1.000000, -0.737429, +1.000000, +1.000000, +1.000000, +0.278205, +0.491466, +0.101148, +0.038030, -1.000000, +0.381226, -0.461227, +0.688915, -0.688331, -0.180586, -0.268265, -0.982701, +1.000000, +0.319906, +0.407999, +0.071651]
frame=009 t= 0.450s reward=+0.116149 done=0 raw_action=[+0.997759, -1.000000, +1.000000, +1.000000, +1.000000, +0.920350, +0.093517, +0.666887, +0.467235, -1.000000, -0.830105, +0.475899, +0.804309, -0.376831, -0.356575, -0.200569, -0.525805, +0.917503, +0.012862, +0.206422, -0.466629]
